Rank,Title,Artist
Lady Gaga & Bruno Mars,Die With A Smile,Lady Gaga & Bruno Mars
Bad Bunny,DTMF,Bad Bunny
Bad Bunny,Baile Inolvidable,Bad Bunny
Shaboozey,A Bar Song (Tipsy),Shaboozey
ROSE & Bruno Mars,APT.,ROSE & Bruno Mars
Kendrick Lamar & SZA,Luther,Kendrick Lamar & SZA
Billie Eilish,Birds Of A Feather,Billie Eilish
Bad Bunny,Nuevayol,Bad Bunny
Teddy Swims,Lose Control,Teddy Swims
Gracie Abrams,That's So True,Gracie Abrams
Post Malone Featuring Morgan Wallen,I Had Some Help,Post Malone Featuring Morgan Wallen
Sabrina Carpenter,Taste,Sabrina Carpenter
Sabrina Carpenter,Espresso,Sabrina Carpenter
Morgan Wallen,Love Somebody,Morgan Wallen
Kendrick Lamar Featuring Lefty Gunplay,TV Off,Kendrick Lamar Featuring Lefty Gunplay
Morgan Wallen,Smile,Morgan Wallen
Bad Bunny,Voy A Llevarte Pa PR,Bad Bunny
Benson Boone,Beautiful Things,Benson Boone
The Weeknd & Playboi Carti,Timeless,The Weeknd & Playboi Carti
Kendrick Lamar,Squabble Up,Kendrick Lamar
"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
Hozier,Too Sweet,Hozier
"Bad Bunny, Omar Courtz & Dei V",Velda,"Bad Bunny, Omar Courtz & Dei V"
Bad Bunny,EOO,Bad Bunny
Myles Smith,Stargazing,Myles Smith
SZA With Kendrick Lamar,30 For 30,SZA With Kendrick Lamar
Bad Bunny,El Club,Bad Bunny
Chappell Roan,"Good Luck, Babe!",Chappell Roan
Lola Young,Messy,Lola Young
Gelo,Tweaker,Gelo
Bad Bunny & RaiNao,Perfumito Nuevo,Bad Bunny & RaiNao
Bad Bunny & Chuwi,Weltita,Bad Bunny & Chuwi
Kendrick Lamar,Not Like Us,Kendrick Lamar
Koe Wetzel & Jessie Murph,High Road,Koe Wetzel & Jessie Murph
SZA,BMF,SZA
Sabrina Carpenter,Bed Chem,Sabrina Carpenter
GloRilla & Sexyy Red,Whatchu Kno About Me,GloRilla & Sexyy Red
Bad Bunny,Ketu Tecre,Bad Bunny
Gigi Perez,Sailor Song,Gigi Perez
Bad Bunny,Kloufrens,Bad Bunny
Jimin,Who,Jimin
Bad Bunny,Bokete,Bad Bunny
Jelly Roll,I Am Not Okay,Jelly Roll
Tucker Wetmore,Wind Up Missin' You,Tucker Wetmore
Bad Bunny,Turista,Bad Bunny
The Marias,No One Noticed,The Marias
Sabrina Carpenter,Please Please Please,Sabrina Carpenter
Bad Bunny & Los Pleneros de La Cresta,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta
Billie Eilish,Wildflower,Billie Eilish
Bad Bunny,Pitorro de Coco,Bad Bunny
Bad Bunny,La Mudanza,Bad Bunny
Jelly Roll,Liar,Jelly Roll
Zach Top,I Never Lie,Zach Top
"Tyler, The Creator Featuring Lola Young",Like Him,"Tyler, The Creator Featuring Lola Young"
Chappell Roan,Pink Pony Club,Chappell Roan
Neton Vega,Loco,Neton Vega
Rauw Alejandro & Bad Bunny,Que Pasaria...,Rauw Alejandro & Bad Bunny
Sam Barber Featuring Avery Anna,Indigo,Sam Barber Featuring Avery Anna
Teddy Swims & GIVEON,Are You Even Real,Teddy Swims & GIVEON
Cody Johnson & Carrie Underwood,I'm Gonna Love You,Cody Johnson & Carrie Underwood
"Lil Baby, Young Thug & Future","Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
Bad Bunny,Lo Que Le Paso A Hawaii,Bad Bunny
Lainey Wilson,4x4xU,Lainey Wilson
Teddy Swims,Bad Dreams,Teddy Swims
Doechii,Denial Is A River,Doechii
Oscar Maydon & Fuerza Regida,Tu Boda,Oscar Maydon & Fuerza Regida
Shaboozey,Good News,Shaboozey
Chris Stapleton,Think I'm In Love With You,Chris Stapleton
Post Malone Featuring Luke Combs,Guy For That,Post Malone Featuring Luke Combs
Jordan Davis,I Ain't Sayin',Jordan Davis
Cynthia Erivo Featuring Ariana Grande,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
Don Toliver,No Pole,Don Toliver
Tate McRae,It's Ok I'm Ok,Tate McRae
Megan Moroney,Am I Okay?,Megan Moroney
SZA,Scorsese Baby Daddy,SZA
Chris Brown,Residuals,Chris Brown
Summer Walker,Heart Of A Woman,Summer Walker
Real Boston Richey,Help Me,Real Boston Richey
Kendrick Lamar Featuring AzChike,Peekaboo,Kendrick Lamar Featuring AzChike
Addison Rae,Diet Pepsi,Addison Rae
Ariana Grande,Popular,Ariana Grande
Dylan Marlowe & Dylan Scott,Boys Back Home,Dylan Marlowe & Dylan Scott
Lil Baby Featuring Travis Scott,Stuff,Lil Baby Featuring Travis Scott
Tito Double P,Rosones,Tito Double P
Tito Double P,Nadie,Tito Double P
Rauw Alejandro & Romeo Santos,Khe?,Rauw Alejandro & Romeo Santos
Tito Double P & Peso Pluma,Dos Dias,Tito Double P & Peso Pluma
Kendrick Lamar Featuring Dody6,Hey Now,Kendrick Lamar Featuring Dody6
Lil Baby & Rylo Rodriguez Featuring Rod Wave,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave
Alex Warren,Burning Down,Alex Warren
Dan + Shay,Bigger Houses,Dan + Shay
BigXthaPlug,The Largest,BigXthaPlug
SZA,Drive,SZA
Lil Baby,F U 2x,Lil Baby
Rod Wave,25,Rod Wave
The Weeknd,Dancing In The Flames,The Weeknd
CHRYSTAL,The Days,CHRYSTAL
Lil Baby & 21 Savage,Outfit,Lil Baby & 21 Savage
"David Guetta, Alphaville & Ava Max",Forever Young,"David Guetta, Alphaville & Ava Max"
Imogen Heap,Headlock,Imogen Heap
